Age,Height,Weight,Team,Year,City,Event,Medal
19.0,181.0,75.0,Estonia,2004,Athina,Tennis Women's Singles,---
23.0,181.0,75.0,Estonia,2008,Beijing,Tennis Women's Singles,---
19.0,170.0,62.0,Russia,2016,Rio de Janeiro,Tennis Women's Singles,---
18.0,165.0,62.0,Canada,1988,Seoul,Tennis Women's Singles,---
28.0,174.0,63.0,Great Britain,2012,London,Tennis Women's Singles,---
24.0,173.0,68.0,Germany,2012,London,Tennis Women's Singles,---
28.0,173.0,68.0,Germany,2016,Rio de Janeiro,Tennis Women's Singles,Silver
21.0,178.0,68.0,United States,2016,Rio de Janeiro,Tennis Women's Singles,---
19.0,172.0,60.0,South Korea,1988,Seoul,Tennis Women's Singles,---
23.0,172.0,60.0,South Korea,1992,Barcelona,Tennis Women's Singles,---
25.0,174.0,60.0,Russia,2012,London,Tennis Women's Singles,---
29.0,180.0,72.0,Italy,2016,Rio de Janeiro,Tennis Women's Singles,---
24.0,184.0,68.0,West Germany,1988,Seoul,Tennis Women's Singles,---
18.0,174.0,65.0,Croatia,2016,Rio de Janeiro,Tennis Women's Singles,---
25.0,183.0,70.0,Great Britain,2016,Rio de Janeiro,Tennis Women's Singles,---
23.0,168.0,54.0,Ukraine,2008,Beijing,Tennis Women's Singles,---
23.0,168.0,59.0,Croatia,2004,Athina,Tennis Women's Singles,---
22.0,166.0,51.0,Czech Republic,2004,Athina,Tennis Women's Singles,---
26.0,166.0,51.0,Czech Republic,2008,Beijing,Tennis Women's Singles,---
30.0,166.0,51.0,Czech Republic,2012,London,Tennis Women's Singles,---
15.0,173.0,56.0,Russia,1996,Atlanta,Tennis Women's Singles,---
21.0,169.0,67.0,Montenegro,2016,Rio de Janeiro,Tennis Women's Singles,---
20.0,165.0,55.0,Luxembourg,1996,Atlanta,Tennis Women's Singles,---
24.0,165.0,55.0,Luxembourg,2000,Sydney,Tennis Women's Singles,---
28.0,165.0,55.0,Luxembourg,2004,Athina,Tennis Women's Singles,---
22.0,179.0,59.0,South Africa,1996,Atlanta,Tennis Women's Singles,---
23.0,167.0,53.0,Serbia,2016,Rio de Janeiro,Tennis Women's Singles,---
20.0,181.0,66.0,Slovakia,2004,Athina,Tennis Women's Singles,---
22.0,175.0,66.0,Hungary,2000,Sydney,Tennis Women's Singles,---
19.0,174.0,73.0,Russia,2004,Athina,Tennis Women's Singles,---
23.0,174.0,73.0,Russia,2008,Beijing,Tennis Women's Singles,---
31.0,174.0,73.0,Russia,2016,Rio de Janeiro,Tennis Women's Singles,---
22.0,183.0,70.0,Czech Republic,2012,London,Tennis Women's Singles,---
26.0,183.0,70.0,Czech Republic,2016,Rio de Janeiro,Tennis Women's Singles,Bronze
21.0,170.0,64.0,Argentina,1992,Barcelona,Tennis Women's Singles,---
25.0,170.0,64.0,Argentina,1996,Atlanta,Tennis Women's Singles,---
29.0,170.0,64.0,Argentina,2000,Sydney,Tennis Women's Singles,---
27.0,174.0,66.0,Sweden,2016,Rio de Janeiro,Tennis Women's Singles,---
21.0,170.0,60.0,South Korea,1988,Seoul,Tennis Women's Singles,---
26.0,180.0,72.0,United States,2012,London,Tennis Women's Singles,---
19.0,166.0,62.0,China,1992,Barcelona,Tennis Women's Singles,---
18.0,172.0,67.0,China,2000,Sydney,Tennis Women's Singles,---
26.0,172.0,67.0,China,2008,Beijing,Tennis Women's Singles,---
30.0,172.0,67.0,China,2012,London,Tennis Women's Singles,---
20.0,174.0,60.0,Russia,1996,Atlanta,Tennis Women's Singles,---
25.0,174.0,60.0,Russia,2000,Sydney,Tennis Women's Singles,---
25.0,165.0,57.0,Sweden,1988,Seoul,Tennis Women's Singles,---
29.0,165.0,57.0,Sweden,1992,Barcelona,Tennis Women's Singles,---
24.0,171.0,59.0,Poland,2016,Rio de Janeiro,Tennis Women's Singles,---
22.0,178.0,70.0,Germany,2012,London,Tennis Women's Singles,---
28.0,156.0,53.0,Spain,2008,Beijing,Tennis Women's Singles,---
18.0,176.0,60.0,Croatia,1996,Atlanta,Tennis Women's Singles,---
23.0,176.0,60.0,Croatia,2000,Sydney,Tennis Women's Singles,---
28.0,176.0,65.0,Russia,2016,Rio de Janeiro,Tennis Women's Singles,---
23.0,179.0,65.0,Russia,1996,Atlanta,Tennis Women's Singles,---
19.0,167.0,55.0,Bulgaria,1988,Seoul,Tennis Women's Singles,---
23.0,167.0,55.0,Bulgaria,1992,Barcelona,Tennis Women's Singles,---
17.0,168.0,59.0,Bulgaria,1992,Barcelona,Tennis Women's Singles,---
21.0,168.0,59.0,Bulgaria,1996,Atlanta,Tennis Women's Singles,---
29.0,168.0,59.0,Bulgaria,2004,Athina,Tennis Women's Singles,---
